Y,F2,F3,F4,F5,F6,F7,F8,F10,F11,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24
1,61385,0,38,118751,1000,32020,1,127959,1,1,119757,119100,1,118830,1,1,126461,1,46871
1,51329,0,41,120800,1000,130630,1,128342,2,1,138110,121149,1,118832,1,1,130296,1,42386
1,5522,0,50,118779,1000,303218,2,128299,1,1,119777,119126,1,118832,1,2,127063,1,23968
1,6754,0,45,123163,2000,19024,1,127968,1,2,270637,123511,1,118832,1,1,15274,1,27555
1,16991,0,41,119193,1000,303218,1,128299,1,1,119777,119542,1,118832,1,1,133491,1,50260
1,20986,0,43,120061,2000,142803,1,138314,1,1,184371,120760,1,120057,1,1,132276,1,89055
1,53356,0,40,120822,1000,303218,1,127961,1,1,131956,121170,1,118832,1,1,130764,1,23989
1,4656,0,44,118779,1000,303218,1,128342,1,1,119777,119126,1,118832,1,1,128536,1,50434
1,42267,0,48,120064,2000,315517,1,138325,1,1,121648,120763,1,119703,2,1,127364,1,87014
1,2966,1,40,119650,1000,320873,1,128315,1,1,281314,119998,1,119186,1,1,233559,1,13812
1,70112,0,47,119622,1000,44319,1,138022,1,1,121992,120321,1,119765,1,1,126515,3,37062
1,17777,0,42,119558,8000,320873,1,128412,1,1,281314,119906,1,118832,1,1,130556,1,46788
1,139291,0,39,161531,1000,144293,1,139690,1,1,305461,162229,4,121433,1,1,127255,1,84123
1,54321,0,47,120970,2000,282787,1,128326,1,1,128210,121318,1,118832,2,1,127041,1,37497
0,4644,0,43,119657,2000,303218,1,128051,1,1,119777,120005,1,118832,1,1,128521,1,15810
1,7322,0,38,119797,2000,142485,1,138223,1,1,161797,120496,1,119703,1,1,127023,1,14811
1,19323,0,39,120381,1000,143236,1,138223,1,1,314331,121078,1,119703,1,1,130336,1,51133
1,7721,0,29,119147,1000,305094,1,127943,1,1,131153,119495,1,118814,1,1,126494,1,48584
0,27184,0,36,121693,1000,315517,1,138341,1,1,125092,122391,1,119703,1,1,130919,1,90727
1,20412,0,29,123002,1000,134215,1,128051,1,1,306928,123350,1,118832,1,1,128503,1,84655
1,18151,0,37,119868,4000,305094,1,128573,1,1,287977,120216,1,119444,1,1,127172,1,48401
