Y,F2,F3,F4,F5,F6,F7,F8,F10,F11,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,poly_f2,poly_f24,poly_f2*f24,poly_f2^2,poly_f24^2
1,61385,0,38,118751,1000,32020,1,127959,1,1,119757,119100,1,118830,1,1,126461,1,46871,61385.0,46871.0,3768118225.0,2877176335.0,2196890641.0
1,51329,0,41,120800,1000,130630,1,128342,2,1,138110,121149,1,118832,1,1,130296,1,42386,51329.0,42386.0,2634666241.0,2175630994.0,1796572996.0
1,5522,0,50,118779,1000,303218,2,128299,1,1,119777,119126,1,118832,1,2,127063,1,23968,5522.0,23968.0,30492484.0,132351296.0,574465024.0
1,6754,0,45,123163,2000,19024,1,127968,1,2,270637,123511,1,118832,1,1,15274,1,27555,6754.0,27555.0,45616516.0,186106470.0,759278025.0
1,16991,0,41,119193,1000,303218,1,128299,1,1,119777,119542,1,118832,1,1,133491,1,50260,16991.0,50260.0,288694081.0,853967660.0,2526067600.0
1,20986,0,43,120061,2000,142803,1,138314,1,1,184371,120760,1,120057,1,1,132276,1,89055,20986.0,89055.0,440412196.0,1868908230.0,7930793025.0
1,53356,0,40,120822,1000,303218,1,127961,1,1,131956,121170,1,118832,1,1,130764,1,23989,53356.0,23989.0,2846862736.0,1279957084.0,575472121.0
1,4656,0,44,118779,1000,303218,1,128342,1,1,119777,119126,1,118832,1,1,128536,1,50434,4656.0,50434.0,21678336.0,234820704.0,2543588356.0
1,42267,0,48,120064,2000,315517,1,138325,1,1,121648,120763,1,119703,2,1,127364,1,87014,42267.0,87014.0,1786499289.0,3677820738.0,7571436196.0
1,2966,1,40,119650,1000,320873,1,128315,1,1,281314,119998,1,119186,1,1,233559,1,13812,2966.0,13812.0,8797156.0,40966392.0,190771344.0
1,70112,0,47,119622,1000,44319,1,138022,1,1,121992,120321,1,119765,1,1,126515,3,37062,70112.0,37062.0,4915692544.0,2598490944.0,1373591844.0
1,17777,0,42,119558,8000,320873,1,128412,1,1,281314,119906,1,118832,1,1,130556,1,46788,17777.0,46788.0,316021729.0,831750276.0,2189116944.0
1,139291,0,39,161531,1000,144293,1,139690,1,1,305461,162229,4,121433,1,1,127255,1,84123,139291.0,84123.0,19401982681.0,11717576793.0,7076679129.0
1,54321,0,47,120970,2000,282787,1,128326,1,1,128210,121318,1,118832,2,1,127041,1,37497,54321.0,37497.0,2950771041.0,2036874537.0,1406025009.0
0,4644,0,43,119657,2000,303218,1,128051,1,1,119777,120005,1,118832,1,1,128521,1,15810,4644.0,15810.0,21566736.0,73421640.0,249956100.0
1,7322,0,38,119797,2000,142485,1,138223,1,1,161797,120496,1,119703,1,1,127023,1,14811,7322.0,14811.0,53611684.0,108446142.0,219365721.0
1,19323,0,39,120381,1000,143236,1,138223,1,1,314331,121078,1,119703,1,1,130336,1,51133,19323.0,51133.0,373378329.0,988042959.0,2614583689.0
1,7721,0,29,119147,1000,305094,1,127943,1,1,131153,119495,1,118814,1,1,126494,1,48584,7721.0,48584.0,59613841.0,375117064.0,2360405056.0
0,27184,0,36,121693,1000,315517,1,138341,1,1,125092,122391,1,119703,1,1,130919,1,90727,27184.0,90727.0,738969856.0,2466322768.0,8231388529.0
1,20412,0,29,123002,1000,134215,1,128051,1,1,306928,123350,1,118832,1,1,128503,1,84655,20412.0,84655.0,416649744.0,1727977860.0,7166469025.0
1,18151,0,37,119868,4000,305094,1,128573,1,1,287977,120216,1,119444,1,1,127172,1,48401,18151.0,48401.0,329458801.0,878526551.0,2342656801.0
1,801,0,35,122467,1000,16972,1,128412,1,1,128356,122815,1,118832,1,1,136071,1,40824,801.0,40824.0,641601.0,32700024.0,1666598976.0
1,50374,0,42,120771,1000,32092,1,127975,1,1,312696,121120,1,118846,1,1,127359,1,41079,50374.0,41079.0,2537539876.0,2069313546.0,1687484241.0
1,34630,0,41,118779,1000,303218,1,128326,1,1,242854,119126,1,118832,1,1,126869,1,52572,34630.0,52572.0,1199236900.0,1820568360.0,2763815184.0
