Y,F2,F24,F16,F4,F22,F10,F7,F19,F6,F5,F17
1,61385,46871,119757,38,126461,127959,32020,118830,1000,118751,119100
1,51329,42386,138110,41,130296,128342,130630,118832,1000,120800,121149
1,5522,23968,119777,50,127063,128299,303218,118832,1000,118779,119126
1,6754,27555,270637,45,15274,127968,19024,118832,2000,123163,123511
1,16991,50260,119777,41,133491,128299,303218,118832,1000,119193,119542
1,20986,89055,184371,43,132276,138314,142803,120057,2000,120061,120760
1,53356,23989,131956,40,130764,127961,303218,118832,1000,120822,121170
1,4656,50434,119777,44,128536,128342,303218,118832,1000,118779,119126
1,42267,87014,121648,48,127364,138325,315517,119703,2000,120064,120763
1,2966,13812,281314,40,233559,128315,320873,119186,1000,119650,119998
1,70112,37062,121992,47,126515,138022,44319,119765,1000,119622,120321
1,17777,46788,281314,42,130556,128412,320873,118832,8000,119558,119906
1,139291,84123,305461,39,127255,139690,144293,121433,1000,161531,162229
1,54321,37497,128210,47,127041,128326,282787,118832,2000,120970,121318
0,4644,15810,119777,43,128521,128051,303218,118832,2000,119657,120005
1,7322,14811,161797,38,127023,138223,142485,119703,2000,119797,120496
1,19323,51133,314331,39,130336,138223,143236,119703,1000,120381,121078
1,7721,48584,131153,29,126494,127943,305094,118814,1000,119147,119495
0,27184,90727,125092,36,130919,138341,315517,119703,1000,121693,122391
1,20412,84655,306928,29,128503,128051,134215,118832,1000,123002,123350
1,18151,48401,287977,37,127172,128573,305094,119444,4000,119868,120216
1,801,40824,128356,35,136071,128412,16972,118832,1000,122467,122815
1,50374,41079,312696,42,127359,127975,32092,118846,1000,120771,121120
1,34630,52572,242854,41,126869,128326,303218,118832,1000,118779,119126
1,18704,35088,119777,41,130432,128385,303218,118832,1000,119193,119542
1,1061,34235,308270,31,134859,128326,130942,118832,1000,119515,119862
1,123350,85970,121915,35,134477,138168,274216,119911,2000,119917,120614
1,3912,11156,121648,34,128938,138325,315517,119703,1000,119650,120347
1,50497,12787,315377,43,127251,138289,143022,120032,1000,120570,121268
1,4761,15842,119777,46,129212,129090,303218,119933,19000,118779,119126
1,74446,51230,309081,42,127911,128025,130966,92132,7000,120236,120584
1,71226,85214,134930,41,130503,138384,142803,119703,3000,121706,122404
1,59767,50056,164053,45,127013,128315,136786,119186,1000,137573,137922
1,31614,12105,121628,42,126561,138489,44319,12888,1000,119622,120321
1,8645,36261,122172,41,128848,129090,132601,119933,3000,121174,121521
1,9415,48854,121655,37,126504,137909,142485,119652,1000,119630,120327
1,6089,30594,120319,44,130556,128412,303218,118832,1000,119193,119542
1,3875,11150,244725,36,128544,138223,315517,119703,3000,119650,120347
1,125503,11717,168788,41,128791,137901,142996,119644,1000,120607,121305
1,56643,54013,308261,44,126498,138078,44319,119821,1000,119622,120321
1,7728,53918,120677,47,127172,128040,305094,118773,1000,119147,119495
0,4256,86560,160976,37,128932,138298,143022,119703,1000,122057,122755
1,6908,89284,119777,41,128866,128445,303218,118832,14000,119193,119542
0,15907,51230,126918,36,128966,128051,131003,118832,1000,119576,119923
1,49868,13812,211923,43,130556,128412,303218,118832,9000,119132,119480
1,21317,26020,131664,36,128981,138384,315517,119703,1000,122434,123132
1,13869,51168,296356,37,127071,128385,130630,118832,1000,119203,308245
1,2474,85970,256889,46,28392,138289,143819,120032,1000,127829,128527
1,88607,35048,121648,34,128990,138411,315517,119703,1000,120064,120763
1,833,87321,119777,34,132268,128299,303218,118832,1000,118779,119126
