,Y
0,0.903
1,0.984
2,0.976
3,0.986
4,0.957
5,0.908
6,0.918
7,0.997
8,0.975
9,0.971
10,0.826
11,0.976
12,0.897
13,0.963
14,0.902
15,0.989
16,0.95
17,0.622
18,0.972
19,0.988
20,0.78
21,0.798
22,0.91
23,0.968
24,0.803
25,0.989
26,0.982
27,0.977
28,0.984
29,0.777
30,0.976
31,0.984
32,0.974
33,0.921
34,0.968
35,0.993
36,0.993
37,0.98
38,0.988
39,0.977
40,0.873
41,0.875
42,0.934
43,0.911
44,0.987
45,0.966
46,0.718
47,0.529
48,0.91
49,0.964
50,0.988
51,0.638
52,0.98
53,0.756
54,0.896
55,0.962
56,0.875
57,0.994
58,0.821
59,0.982
60,0.985
61,0.895
62,0.712
63,0.769
64,0.998
65,0.95
66,0.998
67,0.994
68,0.994
69,0.997
70,0.969
71,0.951
72,0.974
73,0.963
74,0.956
75,0.62
76,0.791
77,0.975
78,0.922
79,0.985
80,0.844
81,0.981
82,0.906
83,0.951
84,0.944
85,0.772
86,0.985
87,0.897
88,0.954
89,0.853
90,0.972
91,0.812
92,0.863
93,0.963
94,0.989
95,0.971
96,0.963
97,0.908
98,0.94
99,0.989
100,0.989
101,0.751
102,0.966
103,0.938
104,0.982
105,0.932
106,0.91
107,0.801
108,0.892
109,0.905
110,0.929
111,0.987
112,0.948
113,0.97
114,0.99
115,0.993
116,0.974
117,0.926
118,0.954
119,0.982
120,0.941
121,0.969
122,0.975
123,0.982
124,0.93
125,0.935
126,0.953
127,0.956
128,0.949
129,0.955
130,0.997
131,0.916
132,0.88
133,0.957
134,0.773
135,0.522
136,0.94
137,0.907
138,0.977
139,0.728
140,0.857
141,0.936
142,0.89
143,0.96
144,0.976
145,0.93
146,0.916
147,0.678
148,0.894
149,0.852
150,0.992
151,0.954
152,0.996
153,0.69
154,0.977
155,0.979
156,1.0
157,0.989
158,0.987
159,0.95
160,0.975
161,0.954
162,0.994
163,0.882
164,0.757
165,0.35
166,0.999
167,0.987
168,0.803
169,0.988
170,0.817
171,0.959
172,0.995
173,0.874
174,0.974
175,0.951
176,0.993
177,1.0
178,0.951
179,0.989
180,0.988
181,0.923
182,0.979
183,0.769
184,0.97
185,0.996
186,0.974
187,0.941
188,0.954
189,0.994
190,0.967
191,0.95
192,0.984
193,0.921
194,0.912
195,0.918
196,0.952
197,0.907
198,0.97
199,0.949
200,0.98
201,0.854
202,0.918
203,0.988
204,0.985
205,0.902
206,0.972
207,0.975
208,0.531
209,0.978
210,0.98
211,0.873
212,0.912
213,0.861
214,0.971
215,0.384
216,0.767
217,0.969
218,0.877
219,0.978
220,0.988
221,0.98
222,0.99
223,0.956
224,0.893
225,0.98
226,0.982
227,0.999
228,0.949
229,0.867
230,0.54
231,0.962
232,0.957
233,0.989
234,0.968
235,0.971
236,0.943
237,0.988
238,0.926
239,0.941
240,0.981
241,0.859
242,0.957
243,0.88
244,0.912
245,0.936
246,0.883
247,0.957
248,0.982
249,0.989
250,0.947
251,0.961
252,0.918
253,0.991
254,0.974
255,0.989
256,0.978
257,0.968
258,0.97
259,0.981
260,0.995
261,0.884
262,0.985
263,0.758
264,0.851
265,0.899
266,0.92
267,0.915
268,1.0
269,0.97
270,0.951
271,0.968
272,0.964
273,0.915
274,0.977
275,0.994
276,0.909
277,0.949
278,0.921
279,0.944
280,0.959
281,0.981
282,0.967
283,0.903
284,0.936
285,0.958
286,0.861
287,0.999
288,0.836
289,0.983
290,0.974
291,0.962
292,0.984
293,0.948
294,0.958
295,0.995
296,0.956
297,0.96
298,0.971
299,0.862
300,0.916
301,0.992
302,0.929
303,0.862
304,0.909
305,0.96
306,0.937
307,0.962
308,0.996
309,0.684
310,0.995
311,0.992
312,0.997
313,0.983
314,0.995
315,0.936
316,0.882
317,0.495
318,0.996
319,0.995
320,0.989
321,0.994
322,0.974
323,0.991
324,0.94
325,0.982
326,0.994
327,0.987
328,0.842
329,0.958
330,0.998
331,0.957
332,0.979
333,0.993
334,0.821
335,0.891
336,0.952
337,0.983
338,0.94
339,0.988
340,0.991
341,0.818
342,0.855
343,0.863
344,0.993
345,0.975
346,0.96
347,0.984
348,0.971
349,0.981
350,0.986
351,0.99
352,0.963
353,0.725
354,0.989
355,0.916
356,0.954
357,0.964
358,0.984
359,0.78
360,0.919
361,0.888
362,0.947
363,0.862
364,0.954
365,0.907
366,0.994
367,0.992
368,0.91
369,0.978
370,0.912
371,0.982
372,0.94
373,0.987
374,0.987
375,0.974
376,0.985
377,0.961
378,0.952
379,0.948
380,0.964
381,0.929
382,0.996
383,0.972
384,0.977
385,0.98
386,0.918
387,0.982
388,0.967
389,0.967
390,0.993
391,0.947
392,0.981
393,0.865
394,0.945
395,0.948
396,0.955
397,0.98
398,0.956
399,0.774
400,0.891
401,0.948
402,0.978
403,0.902
404,0.982
405,0.97
406,0.986
407,0.932
408,0.969
409,0.883
410,0.972
411,0.973
412,0.929
413,0.993
414,0.965
415,0.872
416,0.914
417,0.99
418,0.971
419,0.808
420,0.721
421,1.0
422,0.697
423,0.944
424,0.945
425,0.962
426,0.926
427,0.948
428,0.812
429,0.957
430,0.79
431,0.994
432,0.989
433,0.998
434,0.925
435,0.952
436,0.983
437,0.985
438,0.991
439,0.967
440,0.936
441,0.998
442,0.993
443,0.915
444,0.983
445,0.978
446,0.964
447,0.965
448,0.996
449,0.938
450,0.875
451,0.983
452,0.97
453,0.95
454,0.964
455,0.969
456,0.975
457,0.974
458,0.972
459,0.976
460,0.997
461,0.996
462,0.959
463,0.979
464,0.955
465,0.998
466,0.859
467,0.936
468,0.956
469,0.975
470,0.972
471,0.972
472,0.504
473,0.95
474,0.71
475,0.867
476,0.993
477,0.995
478,0.912
479,0.922
480,0.985
481,0.997
482,0.949
483,0.657
484,0.858
485,0.916
486,0.981
487,0.954
488,0.966
489,0.94
490,0.802
491,0.83
492,0.947
493,0.908
494,0.999
495,0.822
496,0.967
497,0.975
498,0.989
499,0.869
500,0.978
501,0.953
502,0.927
503,0.786
504,0.967
505,0.773
506,0.452
507,0.984
508,0.967
509,0.991
510,0.948
511,0.94
512,0.947
513,0.996
514,0.986
515,0.941
516,0.964
517,0.979
518,0.926
519,0.971
520,0.974
521,0.963
522,0.965
523,0.915
524,0.989
525,0.661
526,0.984
527,0.977
528,0.992
529,0.982
530,0.921
531,0.97
532,0.761
533,0.725
534,0.929
535,0.902
536,0.8
537,0.992
538,0.879
539,0.965
540,0.893
541,0.914
542,0.974
543,0.941
544,0.998
545,0.973
546,0.998
547,0.977
548,0.936
549,0.969
550,0.968
551,0.896
552,0.904
553,0.967
554,0.986
555,0.81
556,0.979
557,0.984
558,0.953
559,0.692
560,0.952
561,0.981
562,0.928
563,0.985
564,0.963
565,0.987
566,0.951
567,0.976
568,0.999
569,0.99
570,0.97
571,0.987
572,0.983
573,0.989
574,0.893
575,0.809
576,0.987
577,0.95
578,0.661
579,0.941
580,0.984
581,0.973
582,0.931
583,0.503
584,0.942
585,0.965
586,0.83
587,0.995
588,0.986
589,0.925
590,0.895
591,0.954
592,0.925
593,0.994
594,0.949
595,0.957
596,0.958
597,0.987
598,0.952
599,0.559
600,0.98
601,0.99
602,0.984
603,0.913
604,0.926
605,0.991
606,0.977
607,0.882
608,0.947
609,0.989
610,0.945
611,0.972
612,0.976
613,0.91
614,0.985
615,0.981
616,0.991
617,0.949
618,0.985
619,0.945
620,0.916
621,0.889
622,0.962
623,0.94
624,0.978
625,0.978
626,0.995
627,0.855
628,0.978
629,0.852
630,0.974
631,0.959
632,0.969
633,0.979
634,0.887
635,0.981
636,0.979
637,0.99
638,0.82
639,0.939
640,0.959
641,0.971
642,0.942
643,0.959
644,0.988
645,0.999
646,0.995
647,0.604
648,0.97
649,0.928
650,0.936
651,0.973
652,0.984
653,0.922
654,0.906
655,0.938
656,0.991
657,0.948
658,0.905
659,0.882
660,0.962
661,0.989
662,0.979
663,0.867
664,0.941
665,0.981
666,0.978
667,0.991
668,0.606
669,0.94
670,0.954
671,0.968
672,0.987
673,0.918
674,0.97
675,0.922
676,0.99
677,0.979
678,0.963
679,0.844
680,0.355
681,0.875
682,0.998
683,0.988
684,0.957
685,0.984
686,0.974
687,0.981
688,0.983
689,0.916
690,0.94
691,0.958
692,0.994
693,0.911
694,0.896
695,0.963
696,0.965
697,0.993
698,0.898
699,0.944
700,0.973
701,0.993
702,0.9
703,0.934
704,0.981
705,0.938
706,0.915
707,1.0
708,0.953
709,0.993
710,0.951
711,0.985
712,0.956
713,0.984
714,0.758
715,0.967
716,0.995
717,0.895
718,0.95
719,0.851
720,0.961
721,0.685
722,0.891
723,0.996
724,0.996
725,0.999
726,0.591
727,0.975
728,0.931
729,0.365
730,0.971
731,0.994
732,0.997
733,0.991
734,0.846
735,0.998
736,0.964
737,0.895
738,0.825
739,0.976
740,0.922
741,0.988
742,0.705
743,0.965
744,0.292
745,0.883
746,0.971
747,0.856
748,0.981
749,0.992
750,0.939
751,0.978
752,0.763
753,0.962
754,0.988
755,0.984
756,0.929
757,0.974
758,0.966
759,0.997
760,0.933
761,0.899
762,0.981
763,0.999
764,0.899
765,0.891
766,0.942
767,0.987
768,0.966
769,0.946
770,0.846
771,0.899
772,0.902
773,0.997
774,0.974
775,0.991
776,0.936
777,0.854
778,0.92
779,0.956
780,0.97
781,0.981
782,0.968
783,0.968
784,0.815
785,0.959
786,0.989
787,0.635
788,0.9
789,0.969
790,0.998
791,0.94
792,0.974
793,0.942
794,0.929
795,0.954
796,0.827
797,0.974
798,0.995
799,0.909
800,0.926
801,0.939
802,0.89
803,0.973
804,0.969
805,0.984
806,0.984
807,0.978
808,0.985
809,0.977
810,0.994
811,0.958
812,0.968
813,0.906
814,0.981
815,0.819
816,0.953
817,0.725
818,0.976
819,0.975
820,0.987
821,0.994
822,0.908
823,0.986
824,0.966
825,0.688
826,0.977
827,0.9
828,0.989
829,0.989
830,0.977
831,0.96
832,0.967
833,0.701
834,0.992
835,0.933
836,0.964
837,0.989
838,0.992
839,0.981
840,0.963
841,0.961
842,0.842
843,0.926
844,0.988
845,0.989
846,0.946
847,0.981
848,0.955
849,0.975
850,0.918
851,0.943
852,0.893
853,0.851
854,0.952
855,0.99
856,0.95
857,0.891
858,0.98
859,0.945
860,0.986
861,0.955
862,0.819
863,0.964
864,0.962
865,0.883
866,0.571
867,0.97
868,0.972
869,0.911
870,0.926
871,0.977
872,0.962
873,0.968
874,0.778
875,0.997
876,0.993
877,0.96
878,0.968
879,0.984
880,0.981
881,0.715
882,0.941
883,0.975
884,0.855
885,0.997
886,0.989
887,0.982
888,0.953
889,0.975
890,0.992
891,0.955
892,0.922
893,0.912
894,0.782
895,0.976
896,0.952
897,0.989
898,0.972
899,0.951
900,0.98
901,0.878
902,0.979
903,0.946
904,0.993
905,0.962
906,0.951
907,0.99
908,0.987
909,0.984
910,0.959
911,0.903
912,0.993
913,0.948
914,0.96
915,0.97
916,0.947
917,0.987
918,0.909
919,0.989
920,0.983
921,0.977
922,0.988
923,0.941
924,0.962
925,0.873
926,0.936
927,0.957
928,0.989
929,0.961
930,0.972
931,0.986
932,0.973
933,0.986
934,0.911
935,0.948
936,0.978
937,0.972
938,0.958
939,0.908
940,0.954
941,0.942
942,0.974
943,0.985
944,0.959
945,0.922
946,0.98
947,0.987
948,0.524
949,0.999
950,0.978
951,0.92
952,0.893
953,0.972
954,0.96
955,0.779
956,0.951
957,0.931
958,0.84
959,0.981
960,0.94
961,0.974
962,0.937
963,0.961
964,0.946
965,0.86
966,0.991
967,0.995
968,0.95
969,0.98
970,0.977
971,0.928
972,0.952
973,0.982
974,0.712
975,0.96
976,0.973
977,0.992
978,0.999
979,0.973
980,0.968
981,0.994
982,0.92
983,0.973
984,0.984
985,0.986
986,0.989
987,0.949
988,0.953
989,0.976
990,0.99
991,0.428
992,0.987
993,0.976
994,0.998
995,0.963
996,0.728
997,0.984
998,0.823
999,0.993
1000,0.947
1001,0.911
1002,0.79
1003,0.975
1004,0.831
1005,0.974
1006,0.978
1007,0.945
1008,0.415
1009,0.997
1010,0.877
1011,0.931
1012,0.897
1013,0.983
1014,0.776
1015,0.705
1016,0.997
1017,0.977
1018,0.974
1019,0.827
1020,0.945
1021,0.928
1022,0.978
1023,0.941
1024,0.991
1025,0.849
1026,0.969
1027,0.989
1028,0.99
1029,0.925
1030,0.994
1031,0.968
1032,0.963
1033,0.985
1034,0.979
1035,0.94
1036,0.964
1037,0.799
1038,0.957
1039,0.943
1040,0.966
1041,0.935
1042,0.913
1043,0.975
1044,0.813
1045,0.975
1046,0.981
1047,0.952
1048,0.83
1049,0.965
1050,0.427
1051,0.878
1052,0.991
1053,0.961
1054,0.986
1055,0.986
1056,0.957
1057,0.988
1058,0.786
1059,0.971
